url,forest_result,forest_risk,bayes_result,bayes_risk,final_result,time
https://gemini.com,LEGITIMATE,36.0,PHISHING,97.89,SAFE,2026-06-02 22:45:45
https://chatgpt.com,LEGITIMATE,19.07,LEGITIMATE,50.0,SAFE,2026-06-02 22:46:34
https://gemini.com,LEGITIMATE,36.0,PHISHING,97.89,SAFE,2026-06-02 22:46:54
https://www.youtube.com/watch?v=qCD1nLE6oL0,LEGITIMATE,16.18,LEGITIMATE,8.25,SAFE,2026-06-02 22:47:00
https://q-r.to/bgqVd1,LEGITIMATE,63.3,LEGITIMATE,0.0,SAFE,2026-06-03 08:55:47
https://facebook.com,LEGITIMATE,24.43,LEGITIMATE,50.0,SAFE,2026-06-03 08:55:57
https://thapcamtv.link,LEGITIMATE,63.0,LEGITIMATE,0.02,SAFE,2026-06-03 08:56:47
"https://www.scribd.com/document/778322161/MI3052-Bai-t%E1%BA%ADp-l%E1%BB%9Bn-IT1-K67-1#content=query:song%20song,pageNum:19,indexOnPage:0,bestMatch:false",LEGITIMATE,11.81,LEGITIMATE,50.0,SAFE,2026-06-03 17:19:29
https://flowcode.com/p/eOEMK6k7wi,LEGITIMATE,40.0,PHISHING,99.95,MEDIUM RISK,2026-06-03 17:19:56
https://plexusrecords.xyz/index.php/2026/01/13/magia-multi-piattaforma-cresci-veloce-su-etsy-allegro-zalando-e-molto-altro/?utm_source=mediago/,LEGITIMATE,22.65,LEGITIMATE,0.0,SAFE,2026-06-03 17:20:39
https://facebook.com,LEGITIMATE,24.43,LEGITIMATE,50.0,SAFE,2026-06-03 18:10:06
https://facebook.com,LEGITIMATE,24.43,LEGITIMATE,50.0,SAFE,2026-06-03 18:11:14
https://starts-tresercdn.wixstudio.com/us-en,PHISHING,65.42,LEGITIMATE,0.0,MEDIUM RISK,2026-06-03 18:11:38
https://facebook.com,LEGITIMATE,24.43,LEGITIMATE,50.0,SAFE,2026-06-03 18:19:33
https://facebook.com,LEGITIMATE,24.43,LEGITIMATE,50.0,SAFE,2026-06-03 18:20:21
